"","SYMBOL","ENSEMBL","ENTREZID"
"299","IL1RAP","ENSG00000196083","3556"
"300","CENPU","ENSG00000151725","79682"
"301","DNAJC1","ENSG00000136770","64215"
"302","PLSCR4","ENSG00000114698","57088"
"303","HK2","ENSG00000159399","3099"
"304","TANC2","ENSG00000170921","26115"
"305","TRIM2","ENSG00000109654","23321"
"306","EFEMP2","ENSG00000172638","30008"
"307","ABCC2","ENSG00000023839","1244"
"308","CLYBL","ENSG00000125246","171425"
"309","PRIM1","ENSG00000198056","5557"
"310","CLU","ENSG00000120885","1191"
"311","SLC37A3","ENSG00000157800","84255"
"312","IFITM1","ENSG00000185885","8519"
"313","USP2","ENSG00000036672","9099"
"314","ADD3","ENSG00000148700","120"
"315","PKMYT1","ENSG00000127564","9088"
"316","DALRD3","ENSG00000178149","55152"
"317","ICA1","ENSG00000003147","3382"
"318","KCNS3","ENSG00000170745","3790"
"319","CDC6","ENSG00000094804","990"
"320","ALPK1","ENSG00000073331","80216"
"321","PLCD4","ENSG00000115556","84812"
"322","GNAI1","ENSG00000127955","2770"
"323","FAT4","ENSG00000196159","79633"
"324","HBP1","ENSG00000105856","26959"
"325","HBP1","ENSG00000283847","26959"
"326","CLIP3","ENSG00000105270","25999"
"327","BRIP1","ENSG00000136492","83990"
"328","ACTN1","ENSG00000072110","87"
"329","POLD3","ENSG00000077514","10714"
"330","CRHBP","ENSG00000145708","1393"
"331","BAZ2B","ENSG00000123636","29994"
"332","BAZ2B","ENSG00000226266","29994"
"333","SORBS1","ENSG00000095637","10580"
"334","DKK3","ENSG00000050165","27122"
"335","APOD","ENSG00000189058","347"
"336","EBNA1BP2","ENSG00000117395","10969"
"337","NEBL","ENSG00000078114","10529"
"338","HELLS","ENSG00000119969","3070"
"339","RFWD3","ENSG00000168411","55159"
"340","KIF18B","ENSG00000186185","146909"
"341","EPHA2","ENSG00000142627","1969"
"342","TTLL1","ENSG00000100271","25809"
"343","WIPF1","ENSG00000115935","7456"
"344","CCNA2","ENSG00000145386","890"
"345","SAMD9L","ENSG00000177409","219285"
"346","PCDH15","ENSG00000150275","65217"
"347","FIGNL1","ENSG00000132436","63979"
"348","ALDH3B1","ENSG00000006534","221"
"349","TYMS","ENSG00000176890","7298"
"350","MTMR11","ENSG00000014914","10903"
"351","SIPA1L2","ENSG00000116991","57568"
"352","NCAPG2","ENSG00000146918","54892"
"353","SLC7A8","ENSG00000092068","23428"
"354","HSD17B8","ENSG00000204228","7923"
"355","HSD17B8","ENSG00000232357","7923"
"356","HSD17B8","ENSG00000225312","7923"
"357","HSD17B8","ENSG00000228357","7923"
"358","HSD17B8","ENSG00000112474","7923"
"359","HSD17B8","ENSG00000228712","7923"
"360","ANKRD1","ENSG00000148677","27063"
"361","UBA7","ENSG00000182179","7318"
"362","EGFR","ENSG00000146648","1956"
