"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP4",1.71577333333334,9.60328,22.6552170046532,1.24073748626672e-10,1.74930975980214e-08,15.0457796356953
"ROR1",1.92956333333333,8.509485,22.6487402188946,1.24459757785647e-10,1.74930975980214e-08,15.0426249792216
"SLC5A12",-1.71844,8.35067,-22.6168820894571,1.26377591055073e-10,1.76310781476389e-08,15.0270934889347
"UHRF1",2.14532666666667,10.35107,22.5583721769493,1.29984165887362e-10,1.78059130980452e-08,14.9985065978392
"BEST1",-2.68249333333333,8.07504333333333,-22.5511067917728,1.30439770110729e-10,1.78059130980452e-08,14.9949512331726
"MAD2L1",1.69073666666666,9.95573166666667,22.5493794707957,1.30548344044054e-10,1.78059130980452e-08,14.9941057738736
"PLP1",-1.82343333333334,12.1087833333333,-22.5356878942152,1.3141244136287e-10,1.78059130980452e-08,14.987401764766
"SERPIND1",1.81724666666666,7.03575333333333,22.5077731891135,1.3319353119562e-10,1.78394969470389e-08,14.9737197482483
"PCDH20",-2.62033666666667,7.56621833333333,-22.5021623331722,1.33554692021476e-10,1.78394969470389e-08,14.9709674368463
"MGAM2",-1.66549666666667,9.55695166666667,-22.4807735561258,1.34941257563259e-10,1.789777214751e-08,14.9604686868341
"MVP",-1.50318666666667,9.11949333333333,-22.328725965857,1.4526146817088e-10,1.91318495911214e-08,14.8855216378427
"SATB1",-1.75500666666667,9.09137333333333,-22.3122233915827,1.46432259095336e-10,1.91521192208441e-08,14.8773539283634
"MCM7",1.6275,10.9657833333333,22.261631476623,1.50086024228451e-10,1.93905011796519e-08,14.8522733343567
"EVI2B",2.39297,6.973025,22.2585198651094,1.5031396263296e-10,1.93905011796519e-08,14.8507287590557
"CLIP4",-1.84191333333334,10.6633433333333,-22.1867001663175,1.55681167871395e-10,1.9946252487686e-08,14.8150130021739
"JHY",-1.56958,8.42044666666667,-22.1372835135668,1.59495146835243e-10,2.02968351046957e-08,14.7903654865855
"TGM2",1.6166,11.4481,22.1074620491643,1.61845890664836e-10,2.04468633770247e-08,14.7754626464154
"FOSL2",-1.63663,10.144785,-22.094925345548,1.62845359804274e-10,2.04468633770247e-08,14.7691911229833
"AKAP6",-1.90857333333333,8.21684333333333,-22.0396186907256,1.67335493351738e-10,2.0871501203885e-08,14.7414778301441
"MYLK",-2.24832333333334,8.97565166666667,-22.0013068885923,1.70524811016545e-10,2.1129370333458e-08,14.7222363183737
"AJAP1",1.7412,8.66046333333333,21.8969967752567,1.79548438415679e-10,2.21020607132085e-08,14.6696643918966
"EDIL3",-2.39659333333333,8.97170333333333,-21.8679727564811,1.82150724605298e-10,2.22767970598453e-08,14.6549883605793
"DTNA",-2.02186,7.41184,-21.813883670331,1.87110545144155e-10,2.27357419822259e-08,14.6275820688875
"ROS1",-1.62655666666667,6.906805,-21.7870318299138,1.89627219189251e-10,2.289384003981e-08,14.6139493704864
"PLPP1",-1.51032333333333,10.4871383333333,-21.7512030448828,1.9304279342451e-10,2.31577577793453e-08,14.5957308835037
"HASPIN",1.83361666666667,8.78355166666667,21.7129386172406,1.96764647956957e-10,2.34548441748186e-08,14.5762382200175
"ANGPTL7",-3.14967666666667,7.88651166666667,-21.5679616974406,2.1159091846671e-10,2.49449660416238e-08,14.5020477171596
"TRIB2",1.73184,9.10967666666667,21.5514707263406,2.13352947949947e-10,2.49449660416238e-08,14.4935747261871
"RFTN2",-2.40255333333333,8.11996666666667,-21.5513395269916,2.13367030222848e-10,2.49449660416238e-08,14.4935072886308
"CUBN",-1.5338,7.49555666666667,-21.5402289313978,2.1456326318058e-10,2.49449660416238e-08,14.4877947516778
"NUDT17",-1.51164666666667,9.46187666666667,-21.482656552881,2.20879884525098e-10,2.55217898475196e-08,14.4581430876904
"XRCC2",2.50847333333333,9.69993,21.4688855572936,2.22420594449359e-10,2.55431065601172e-08,14.4510379475509
"LGR5",-2.33518666666666,7.59049666666667,-21.4329107480029,2.26500946462667e-10,2.58540534889568e-08,14.4324536918418
"ROBO2",-1.70464,7.95442,-21.3914187313363,2.31308507559715e-10,2.6177837165467e-08,14.4109777645726
"HIST1H3A",1.63351,9.464145,21.3814374828855,2.32481502800759e-10,2.6177837165467e-08,14.405804897583
"TP53INP1",-2.29129666666667,8.822455,-21.3727535188485,2.33507308261572e-10,2.6177837165467e-08,14.4013022562964
"P2RX7",-2.62735333333333,7.68025333333333,-21.3182798839818,2.40055518827544e-10,2.67049130005293e-08,14.3730129114539
"TENM3-AS1",-1.51794333333333,9.65386166666667,-21.310192087825,2.41044664441435e-10,2.67049130005293e-08,14.3688061516169
"ORAI3",-1.80637666666667,10.057745,-21.289293538231,2.43621175688973e-10,2.68180407767494e-08,14.35792813903
"PGM2L1",-1.86828666666667,8.00870333333333,-21.2789007318177,2.44913614399538e-10,2.68180407767494e-08,14.3525142746485
"GINS2",1.96647333333333,11.0772966666667,21.2440688047645,2.49299979638791e-10,2.71405538526993e-08,14.3343488527361
"PMAIP1",2.201,8.40339,21.1675796355664,2.59235213519853e-10,2.80599770772007e-08,14.2943466138004
"ACSF2",-1.51719,8.709525,-21.1399076411894,2.62935009446509e-10,2.81679679916032e-08,14.279836718483
"SMIM14",-1.78348666666667,9.04260666666667,-21.1112718978687,2.66824245215712e-10,2.81679679916032e-08,14.2648001306807
"GAB1",-1.52775666666667,9.732655,-21.1083770143954,2.67220891778741e-10,2.81679679916032e-08,14.2632788210309
"MRTO4",1.45893666666667,9.80339833333333,21.1063664349919,2.6749675171598e-10,2.81679679916032e-08,14.2622220970303
"ATAD5",1.714,8.65856333333333,21.1048075071276,2.67710856456248e-10,2.81679679916032e-08,14.2614026789936
"ZC3H6",-1.80535,7.69050833333333,-21.0619014309876,2.73677435897606e-10,2.86357823760862e-08,14.2388246295697
"HPGD",-2.03651,7.45412833333333,-21.030128703807,2.78189023024357e-10,2.88256220177769e-08,14.2220735643293
"FGF1",-1.95964333333333,8.39425833333333,-21.0275716437232,2.78555617367493e-10,2.88256220177769e-08,14.2207242713338
"TSHZ2",-1.72787,7.23450166666667,-21.0167405186917,2.80114267318115e-10,2.88256220177769e-08,14.215007034539
"FAM129A",-1.80864,10.7703133333333,-21.0063818704825,2.81613807543323e-10,2.88256220177769e-08,14.2095362596036
"ERRFI1",1.46906666666666,11.4688333333333,20.9947834055211,2.83303199928879e-10,2.88417971214082e-08,14.2034072829569
"SSBP2",-1.5377,11.58955,-20.9751383830779,2.86189838896045e-10,2.89790291707963e-08,14.1930180363101
"HIST1H1A",1.93511666666667,9.630075,20.9455543185549,2.90597487670954e-10,2.92679843999719e-08,14.1773529825182
"MCM5",1.68355,9.781225,20.8150228857583,3.10946633721722e-10,3.11508984016751e-08,14.1079532248369
"RAD51",2.32916,9.02631,20.7658086582505,3.19017089093409e-10,3.17903061163242e-08,14.0816673550991
"CACNA1D",-1.48747333333333,8.30032,-20.6845713660522,3.32841972237958e-10,3.2993398448051e-08,14.0381326597707
"MCM6",1.72634,9.22223,20.6095316310334,3.46192819783669e-10,3.3941199791848e-08,13.9977578687719
"ADGRF1",3.39809666666666,7.55712833333333,20.6039890749882,3.47201793669422e-10,3.3941199791848e-08,13.9947695483475
"ALCAM",-1.4252,10.9208,-20.600657074598,3.47809894861775e-10,3.3941199791848e-08,13.9929726597927
"HECW2",-1.51310333333334,7.227305,-20.5760046884832,3.52345207221332e-10,3.42065444990029e-08,13.9796684990622
"HIST1H2BF",1.47773,10.726735,20.5509955901275,3.57011975600962e-10,3.43573743055556e-08,13.966154581197
"WDR76",1.81808,9.83726,20.5380356744265,3.59456753590165e-10,3.43573743055556e-08,13.9591447136119
"LRRC17",-1.53417333333333,7.68333666666667,-20.5267174603805,3.61606743330183e-10,3.43573743055556e-08,13.9530189945569
"TNFRSF21",1.54106,10.2184033333333,20.5213656805059,3.6262822764422e-10,3.43573743055556e-08,13.9501212245254
"SPRED2",1.40481666666667,10.094325,20.5193177809821,3.63019936646786e-10,3.43573743055556e-08,13.9490121592047
"MASTL",1.40899333333333,10.3247366666667,20.4815574414226,3.70325616755289e-10,3.48735633298456e-08,13.9285415790133
"CYP27A1",-1.44460666666667,8.41627,-20.4441717037129,3.7771668704539e-10,3.53926173324023e-08,13.9082347394758
"PCDHB18P",-1.56638,8.17500333333333,-20.368111983055,3.93253840007315e-10,3.66660535777117e-08,13.866799974962
"ORC6",1.90838,8.24241,20.345425114075,3.98021838533707e-10,3.69277995415953e-08,13.8544093060278
"NREP",-1.78693333333334,11.4461666666667,-20.2618388867412,4.16139128603922e-10,3.84194330790503e-08,13.8086317402598
"CCDC86",1.41889666666667,9.58461833333333,20.2460025439916,4.19671715336369e-10,3.85565711543667e-08,13.7999362432585
"QRFPR",1.72909333333333,8.86547666666667,20.1767873543557,4.35498983452676e-10,3.98164458948917e-08,13.7618469632451
"POLQ",1.65308333333333,7.75449166666667,20.1668414740276,4.37826157736422e-10,3.98358350473805e-08,13.7563624213319
"PLEKHG1",-1.74223333333333,7.31050666666667,-20.0542569909749,4.65133693739749e-10,4.21169614802617e-08,13.6940798798518
"CERS4",-1.83296666666667,8.9808,-20.0443761159047,4.67617319431584e-10,4.21392564314567e-08,13.6885961753282
"PLK4",1.81164,9.38518,20.0224050979829,4.73191752203846e-10,4.24385402905107e-08,13.6763924798954
"LGR4",-1.92381666666667,9.784925,-19.9887538693255,4.81870320802711e-10,4.30120645592334e-08,13.6576737791125
"PNP",1.48478666666666,10.1033066666667,19.9692855859903,4.86970102970722e-10,4.3262240185616e-08,13.6468293175979
"SHTN1",-1.47796,10.5519866666667,-19.9446434159903,4.93509574042407e-10,4.36373676878624e-08,13.6330869156963
"PCDHB15",-1.91249666666667,7.87780833333333,-19.8818474402165,5.10610196390799e-10,4.49384693403005e-08,13.59798630128
"CFI",-1.58931333333333,8.11921,-19.8598204510181,5.16760447379285e-10,4.52682151904254e-08,13.5856464962096
"CHAF1A",1.51695,9.309825,19.8416602049196,5.21891674982826e-10,4.55060546603081e-08,13.5754621016546
"CTDSPL",1.66807666666666,9.01840166666667,19.8180670155178,5.28640949906088e-10,4.58821366383929e-08,13.5622162834013
"NR5A2",-2.10130666666667,8.15594,-19.7863829555627,5.37854586438131e-10,4.62655771498281e-08,13.5444020468597
"MCM3",1.50303333333333,10.2303166666667,19.7859835989814,5.37971827323582e-10,4.62655771498281e-08,13.5441773197113
"ANO1",1.62609333333333,9.01278666666667,19.7754139817374,5.41084924508701e-10,4.6321788491804e-08,13.5382278266337
"MCM4",1.71067,10.4889316666667,19.7394895300123,5.51813228131554e-10,4.70264721204964e-08,13.5179815439379
"RAD51AP1",1.98331,8.90583166666667,19.728556214547,5.55124064494825e-10,4.70955253634934e-08,13.511812101659
"BLM",2.31843,8.99715833333333,19.7180187957255,5.58335475187521e-10,4.71555620613533e-08,13.5058626712973
"SERTAD4",1.50602666666666,9.97222,19.7092773253884,5.6101488737865e-10,4.71703320932566e-08,13.5009247109106
"PBK",1.58016333333333,9.988985,19.6335525759061,5.84820062978259e-10,4.89533380717001e-08,13.4580525983642
"ATP2B4",-1.3342,11.7848333333333,-19.6123633150581,5.91676382673589e-10,4.93081105808601e-08,13.4460252157581
"UCK2",1.5293,10.6872833333333,19.5583803093717,6.09542348795949e-10,5.05732184899687e-08,13.4153221523113
"CAPS",-1.67406666666666,11.8174666666667,-19.5183539127901,6.23168039598308e-10,5.14769599026076e-08,13.3924998417509
"SLC1A1",1.99216,8.73388,19.5059027048272,6.27473945630068e-10,5.16063069519507e-08,13.3853904416561
"SIDT2",-1.47523333333334,10.8106166666667,-19.4948966707785,6.31307035096132e-10,5.1695811734785e-08,13.3791022684825
"MRAS",-1.39201,8.72488166666667,-19.4742301238849,6.38573610394281e-10,5.20644821565623e-08,13.3672846689134
"E2F8",1.68294333333333,8.475495,19.438650895514,6.51297709061742e-10,5.2873021777883e-08,13.3469090209169
"SLC2A12",-2.36157666666667,6.72200166666667,-19.4211730272011,6.57649067292236e-10,5.31594958514248e-08,13.3368854992517
